k,family,criterion,mean_eff,CDS_k
3,FCCD,D,0.3746487241682645,NA
3,FCCD,A,0.3469778004242134,NA
3,FCCD,G,0.4647492595348981,NA
3,RCCD,D,0.6019530598385082,NA
3,RCCD,A,0.5209370383755533,NA
3,RCCD,G,0.533737658241697,NA
3,SCCD,D,0.6239240962863367,NA
3,SCCD,A,0.5323666661175819,NA
3,SCCD,G,0.5390683336163496,NA
4,FCCD,D,0.35607923858258883,0.01856948558567567
4,FCCD,A,0.28267454381106605,0.06430325661314734
4,FCCD,G,0.42025679333896,0.04449246619593811
4,RCCD,D,0.6327078470072571,0.03075478716874891
4,RCCD,A,0.539692226565359,0.018755188189805705
4,RCCD,G,0.5471397918971308,0.013402133655433746
4,SCCD,D,0.6327078470072571,0.008783750720920414
4,SCCD,A,0.539692226565359,0.007325560447777102
4,SCCD,G,0.5460291269786226,0.0069607933622729545
5,FCCD,D,0.3336761937457703,0.022403044836818542
5,FCCD,A,0.21585434569311543,0.06682019811795062
5,FCCD,G,0.3145961688808027,0.10566062445815727
5,RCCD,D,0.639488912542152,0.006781065534894881
5,RCCD,A,0.5542942427505705,0.014602016185211508
5,RCCD,G,0.5142714748404852,0.03286831705664561
5,SCCD,D,0.6017149087556982,0.03099293825155891
5,SCCD,A,0.522298401657323,0.017393824908035982
5,SCCD,G,0.5012084646440736,0.044820662334548955
6,FCCD,D,0.3186513572720167,0.015024836473753578
6,FCCD,A,0.1563191247003712,0.05953522099274422
6,FCCD,G,0.25088799185334754,0.06370817702745518
6,RCCD,D,0.6450643909378376,0.005575478395685618
6,RCCD,A,0.5848715955861226,0.030577352835552074
6,RCCD,G,0.5654975336878766,0.0512260588473914
6,SCCD,D,0.5666413523991317,0.035073556356566504
6,SCCD,A,0.4765343730329005,0.04576402862442247
6,SCCD,G,0.47425640002144326,0.02695206462263039
7,FCCD,D,0.2484254213992395,0.0702259358727772
7,FCCD,A,0.22053691337189016,0.06421778867151895
7,FCCD,G,0.23825990813641817,0.012628083716929361
7,RCCD,D,0.646744426091059,0.0016800351532213487
7,RCCD,A,0.6496102859808357,0.06473869039471314
7,RCCD,G,0.6384694865423848,0.07297195285450819
7,SCCD,D,0.4953866601451185,0.07125469225401321
7,SCCD,A,0.42048616189327076,0.05604821113962977
7,SCCD,G,0.39173611008012527,0.08252028994131799
8,FCCD,D,0.1929211576037066,0.055504263795532915
8,FCCD,A,0.16112507860664943,0.05941183476524073
8,FCCD,G,0.16230389956065816,0.07595600857576001
8,RCCD,D,0.6472593256246346,5.148995335756412e-4
8,RCCD,A,0.6553353025841638,0.005725016603328137
8,RCCD,G,0.6260686490499238,0.012400837492461014
8,SCCD,D,0.41087499181553366,0.08451166832958484
8,SCCD,A,0.3072259662934219,0.11326019559984885
8,SCCD,G,0.2820083820850512,0.10972772799507408
9,FCCD,D,0.137399529762149,0.05552162784155759
9,FCCD,A,0.10371516375938555,0.057409914847263877
9,FCCD,G,0.10092383346368666,0.0613800660969715
9,RCCD,D,0.6469753526626624,2.839729619722453e-4
9,RCCD,A,0.6567002374764638,0.0013649348922999405
9,RCCD,G,0.6068188512399633,0.0192497978099605
9,SCCD,D,0.31399611246310644,0.09687887935242723
9,SCCD,A,0.20574130691637826,0.10148465937704365
9,SCCD,G,0.18709389170942878,0.09491449037562241
10,FCCD,D,0.08931851212749063,0.04808101763465837
10,FCCD,A,0.06185752727980654,0.04185763647957901
10,FCCD,G,0.06384659651183834,0.03707723695184832
10,RCCD,D,0.6472030782546596,2.2772559199724096e-4
10,RCCD,A,0.6578979762399524,0.0011977387634886094
10,RCCD,G,0.6294536122969108,0.022634761056947506
10,SCCD,D,0.21982571037779447,0.09417040208531197
10,SCCD,A,0.12894400878901174,0.07679729812736652
10,SCCD,G,0.12618257318128992,0.06091131852813886
