k,family,mean_condition
3,FCCD,21.93803877457248
3,RCCD,41.16700917119569
3,SCCD,42.2895403863719
4,FCCD,46.27009598254254
4,RCCD,75.33032463578316
4,SCCD,75.33032463578316
5,FCCD,95.72802377821174
5,RCCD,124.2307152001011
5,SCCD,129.59395496078096
6,FCCD,184.27513039614888
6,RCCD,162.34418988773217
6,SCCD,214.50736707453083
7,FCCD,793.5728588852043
7,RCCD,609.2873279963904
7,SCCD,677.739935332443
8,FCCD,893.1947119006445
8,RCCD,635.5994755462066
8,SCCD,744.5469845346265
9,FCCD,992.881205409635
9,RCCD,660.8435923183454
9,SCCD,809.4532492811963
10,FCCD,1092.6172007981306
10,RCCD,690.235388036272
10,SCCD,872.7858903006496
