k,family,mean_logdet
3,FCCD,25.72580887174592
3,RCCD,30.53118911501851
3,SCCD,30.89208925905249
4,FCCD,45.92585417008979
4,RCCD,54.67387881652215
4,SCCD,54.67387881652215
5,FCCD,75.89793857445623
5,RCCD,89.75059470007321
5,SCCD,88.45803250493256
6,FCCD,118.01372819305674
6,RCCD,138.0414291850292
6,SCCD,134.37455495668172
7,FCCD,120.95436773931098
7,RCCD,155.94426912513336
7,SCCD,146.24399618889447
8,FCCD,135.61987317931752
8,RCCD,190.98789922735907
8,SCCD,170.362351535678
9,FCCD,146.39920621949574
9,RCCD,232.8524319934494
9,SCCD,192.94121050347093
10,FCCD,153.34166980619588
10,RCCD,285.47217401300884
10,SCCD,214.29608485568053
