k,family,meanD,meanA,meanG,n
3,FCCD,0.37290861124058794,0.3447073489332477,0.47001394707689925,45
3,RCCD,0.5977142462154352,0.5051182714811231,0.5150882773660965,45
3,SCCD,0.6190663281851919,0.5148762155709954,0.5249301213374005,45
4,FCCD,0.35157033913691443,0.2759026307554787,0.38579988622445194,45
4,RCCD,0.627699982673152,0.5133599713957364,0.4823449193499583,45
4,SCCD,0.627699982673152,0.5133599713957364,0.48204378838648343,45
5,FCCD,0.3246756766772348,0.20315859662440935,0.2974245920390373,45
5,RCCD,0.6347708933240847,0.5172681722935095,0.47627792388745804,45
5,SCCD,0.597071713310505,0.4859735869564143,0.44729918066680613,45
6,FCCD,0.30231986383957765,0.13427725031097326,0.19250380357485816,45
6,RCCD,0.6422217189243264,0.5506946939824439,0.46110025731762966,45
6,SCCD,0.5613825185175396,0.419655650541809,0.35418607662173474,45
