k,family,meanD_reg,meanA_reg,meanG_reg,meanD_scaled,meanA_scaled,meanG_scaled
3,FCCD,0.37318245675014267,0.34513184305918526,0.46201150966953447,0.3746487241682645,0.3469778004242134,0.4647492595348981
3,RCCD,0.5979915423130139,0.5058460531340019,0.5130066257425494,0.6019530598385082,0.5209370383755533,0.533737658241697
3,SCCD,0.6193471764351951,0.5156159170722348,0.520795901913646,0.6239240962863367,0.5323666661175819,0.5390683336163496
4,FCCD,0.3517927997463311,0.27627795946042255,0.3684783426305105,0.35607923858258883,0.28267454381106605,0.42025679333896
4,RCCD,0.6278784365126471,0.5140205892367021,0.46288521022576057,0.6327078470072571,0.539692226565359,0.5471397918971308
4,SCCD,0.6278784365126471,0.5140205892367021,0.4641485492220898,0.6327078470072571,0.539692226565359,0.5460291269786226
5,FCCD,0.3248613815238033,0.20347062103306385,0.28204986403921095,0.3336761937457703,0.21585434569311543,0.3145961688808027
5,RCCD,0.6348729294730081,0.5178209386574505,0.44652284961581523,0.639488912542152,0.5542942427505705,0.5142714748404852
5,SCCD,0.5971870688328359,0.4865706366797014,0.43198949198580416,0.6017149087556982,0.522298401657323,0.5012084646440736
6,FCCD,0.3024802468267056,0.13451674387227505,0.1899837904648294,0.3186513572720167,0.1563191247003712,0.25088799185334754
6,RCCD,0.6422636228226338,0.5510174712323442,0.44903671600717693,0.6450643909378376,0.5848715955861226,0.5654975336878766
6,SCCD,0.5614631662437518,0.4202109396854341,0.3465760872224118,0.5666413523991317,0.4765343730329005,0.4742564000214432
7,FCCD,0.27187066778917424,0.993281624137437,0.7720193782857345,0.2484254213992395,0.22053691337189016,0.23825990813641817
7,RCCD,0.6658628672273071,0.9991818516043942,0.7771523279348466,0.646744426091059,0.6496102859808357,0.6384694865423848
7,SCCD,0.5304068310884281,0.9981515390633554,0.781845010464284,0.4953866601451185,0.42048616189327076,0.39173611008012527
8,FCCD,0.2583248111490006,0.9970454193652042,0.7686911127602631,0.1929211576037066,0.16112507860664943,0.16230389956065816
8,RCCD,0.6921972566585302,0.9997369913632571,0.7925180038573183,0.6472593256246346,0.6553353025841638,0.6260686490499238
8,SCCD,0.5075727612157703,0.9992773743913768,0.7759224085116322,0.41087499181553366,0.3072259662934219,0.2820083820850512
9,FCCD,0.24853433381264273,0.9982117342150849,0.8408038044807788,0.137399529762149,0.10371516375938555,0.10092383346368666
9,RCCD,0.7194215697376505,0.9998830253408568,0.8556762095640225,0.6469753526626624,0.6567002374764637,0.6068188512399633
9,SCCD,0.4879832217694184,0.9996152888946702,0.843810168192703,0.31399611246310644,0.20574130691637826,0.18709389170942878
10,FCCD,0.24119711772035987,0.9987589447605273,0.8206097886824629,0.08931851212749063,0.06185752727980654,0.06384659651183834
10,RCCD,0.7469263004026213,0.9999456586293074,0.8423300366111989,0.6472030782546596,0.6578979762399524,0.6294536122969108
10,SCCD,0.4709280111091095,0.9997689847888943,0.8435160998953439,0.21982571037779447,0.12894400878901174,0.12618257318128992
