k,family,meanD,meanA,meanG
3,FCCD,0.3746487241682645,0.3469778004242134,0.4647492595348981
3,RCCD,0.6019530598385082,0.5209370383755533,0.533737658241697
3,SCCD,0.6239240962863367,0.5323666661175819,0.5390683336163496
4,FCCD,0.35607923858258883,0.28267454381106605,0.42025679333896
4,RCCD,0.6327078470072571,0.539692226565359,0.5471397918971308
4,SCCD,0.6327078470072571,0.539692226565359,0.5460291269786226
5,FCCD,0.3336761937457703,0.21585434569311543,0.3145961688808027
5,RCCD,0.639488912542152,0.5542942427505705,0.5142714748404852
5,SCCD,0.6017149087556982,0.522298401657323,0.5012084646440736
6,FCCD,0.3186513572720167,0.1563191247003712,0.25088799185334754
6,RCCD,0.6450643909378376,0.5848715955861226,0.5654975336878766
6,SCCD,0.5666413523991317,0.4765343730329005,0.47425640002144326
7,FCCD,0.2484254213992395,0.22053691337189016,0.23825990813641817
7,RCCD,0.646744426091059,0.6496102859808357,0.6384694865423848
7,SCCD,0.4953866601451185,0.42048616189327076,0.39173611008012527
8,FCCD,0.1929211576037066,0.16112507860664943,0.16230389956065816
8,RCCD,0.6472593256246346,0.6553353025841638,0.6260686490499238
8,SCCD,0.41087499181553366,0.3072259662934219,0.2820083820850512
9,FCCD,0.137399529762149,0.10371516375938555,0.10092383346368666
9,RCCD,0.6469753526626624,0.6567002374764638,0.6068188512399633
9,SCCD,0.31399611246310644,0.20574130691637826,0.18709389170942878
10,FCCD,0.08931851212749063,0.06185752727980654,0.06384659651183834
10,RCCD,0.6472030782546596,0.6578979762399524,0.6294536122969108
10,SCCD,0.21982571037779447,0.12894400878901174,0.12618257318128992
