DesignID,k,family,nc,rf,ra,alpha,N
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,77
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47
FCCD_k8_nc1_rf1_ra1,8,FCCD,1,1,1,1,49
FCCD_k9_nc1_rf1_ra1,9,FCCD,1,1,1,1,51
FCCD_k10_nc1_rf1_ra1,10,FCCD,1,1,1,1,53
RCCD_k3_nc1_rf1_ra1,3,RCCD,1,1,1,1.681792830507429,15
RCCD_k4_nc1_rf1_ra1,4,RCCD,1,1,1,2,25
RCCD_k5_nc1_rf1_ra1,5,RCCD,1,1,1,2.378414230005442,43
RCCD_k6_nc1_rf1_ra1,6,RCCD,1,1,1,2.8284271247461903,77
RCCD_k7_nc1_rf1_ra1,7,RCCD,1,1,1,3.363585661014858,47
RCCD_k8_nc1_rf1_ra1,8,RCCD,1,1,1,4,49
RCCD_k9_nc1_rf1_ra1,9,RCCD,1,1,1,4.756828460010884,51
RCCD_k10_nc1_rf1_ra1,10,RCCD,1,1,1,5.656854249492381,53
SCCD_k3_nc1_rf1_ra1,3,SCCD,1,1,1,1.7320508075688772,15
SCCD_k4_nc1_rf1_ra1,4,SCCD,1,1,1,2,25
SCCD_k5_nc1_rf1_ra1,5,SCCD,1,1,1,2.23606797749979,43
SCCD_k6_nc1_rf1_ra1,6,SCCD,1,1,1,2.449489742783178,77
SCCD_k7_nc1_rf1_ra1,7,SCCD,1,1,1,2.6457513110645907,47
SCCD_k8_nc1_rf1_ra1,8,SCCD,1,1,1,2.8284271247461903,49
SCCD_k9_nc1_rf1_ra1,9,SCCD,1,1,1,3,51
SCCD_k10_nc1_rf1_ra1,10,SCCD,1,1,1,3.1622776601683795,53
FCCD_k3_nc3_rf1_ra1,3,FCCD,3,1,1,1,17
FCCD_k4_nc3_rf1_ra1,4,FCCD,3,1,1,1,27
FCCD_k5_nc3_rf1_ra1,5,FCCD,3,1,1,1,45
FCCD_k6_nc3_rf1_ra1,6,FCCD,3,1,1,1,79
FCCD_k7_nc3_rf1_ra1,7,FCCD,3,1,1,1,49
FCCD_k8_nc3_rf1_ra1,8,FCCD,3,1,1,1,51
FCCD_k9_nc3_rf1_ra1,9,FCCD,3,1,1,1,53
FCCD_k10_nc3_rf1_ra1,10,FCCD,3,1,1,1,55
RCCD_k3_nc3_rf1_ra1,3,RCCD,3,1,1,1.681792830507429,17
RCCD_k4_nc3_rf1_ra1,4,RCCD,3,1,1,2,27
RCCD_k5_nc3_rf1_ra1,5,RCCD,3,1,1,2.378414230005442,45
RCCD_k6_nc3_rf1_ra1,6,RCCD,3,1,1,2.8284271247461903,79
RCCD_k7_nc3_rf1_ra1,7,RCCD,3,1,1,3.363585661014858,49
RCCD_k8_nc3_rf1_ra1,8,RCCD,3,1,1,4,51
RCCD_k9_nc3_rf1_ra1,9,RCCD,3,1,1,4.756828460010884,53
RCCD_k10_nc3_rf1_ra1,10,RCCD,3,1,1,5.656854249492381,55
SCCD_k3_nc3_rf1_ra1,3,SCCD,3,1,1,1.7320508075688772,17
SCCD_k4_nc3_rf1_ra1,4,SCCD,3,1,1,2,27
SCCD_k5_nc3_rf1_ra1,5,SCCD,3,1,1,2.23606797749979,45
SCCD_k6_nc3_rf1_ra1,6,SCCD,3,1,1,2.449489742783178,79
SCCD_k7_nc3_rf1_ra1,7,SCCD,3,1,1,2.6457513110645907,49
SCCD_k8_nc3_rf1_ra1,8,SCCD,3,1,1,2.8284271247461903,51
SCCD_k9_nc3_rf1_ra1,9,SCCD,3,1,1,3,53
SCCD_k10_nc3_rf1_ra1,10,SCCD,3,1,1,3.1622776601683795,55
FCCD_k3_nc5_rf1_ra1,3,FCCD,5,1,1,1,19
FCCD_k4_nc5_rf1_ra1,4,FCCD,5,1,1,1,29
FCCD_k5_nc5_rf1_ra1,5,FCCD,5,1,1,1,47
FCCD_k6_nc5_rf1_ra1,6,FCCD,5,1,1,1,81
FCCD_k7_nc5_rf1_ra1,7,FCCD,5,1,1,1,51
FCCD_k8_nc5_rf1_ra1,8,FCCD,5,1,1,1,53
FCCD_k9_nc5_rf1_ra1,9,FCCD,5,1,1,1,55
FCCD_k10_nc5_rf1_ra1,10,FCCD,5,1,1,1,57
RCCD_k3_nc5_rf1_ra1,3,RCCD,5,1,1,1.681792830507429,19
RCCD_k4_nc5_rf1_ra1,4,RCCD,5,1,1,2,29
RCCD_k5_nc5_rf1_ra1,5,RCCD,5,1,1,2.378414230005442,47
RCCD_k6_nc5_rf1_ra1,6,RCCD,5,1,1,2.8284271247461903,81
RCCD_k7_nc5_rf1_ra1,7,RCCD,5,1,1,3.363585661014858,51
RCCD_k8_nc5_rf1_ra1,8,RCCD,5,1,1,4,53
RCCD_k9_nc5_rf1_ra1,9,RCCD,5,1,1,4.756828460010884,55
RCCD_k10_nc5_rf1_ra1,10,RCCD,5,1,1,5.656854249492381,57
SCCD_k3_nc5_rf1_ra1,3,SCCD,5,1,1,1.7320508075688772,19
SCCD_k4_nc5_rf1_ra1,4,SCCD,5,1,1,2,29
SCCD_k5_nc5_rf1_ra1,5,SCCD,5,1,1,2.23606797749979,47
SCCD_k6_nc5_rf1_ra1,6,SCCD,5,1,1,2.449489742783178,81
SCCD_k7_nc5_rf1_ra1,7,SCCD,5,1,1,2.6457513110645907,51
SCCD_k8_nc5_rf1_ra1,8,SCCD,5,1,1,2.8284271247461903,53
SCCD_k9_nc5_rf1_ra1,9,SCCD,5,1,1,3,55
SCCD_k10_nc5_rf1_ra1,10,SCCD,5,1,1,3.1622776601683795,57
FCCD_k3_nc7_rf1_ra1,3,FCCD,7,1,1,1,21
FCCD_k4_nc7_rf1_ra1,4,FCCD,7,1,1,1,31
