DesignID,k,family,nc,rf,ra,alpha,N,Dcritical,Acritical,Gcritical,Defficiency,Aefficiency,Gefficiency
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,6.707446945424451,2.1305555555555555,0.7359724335835292,0.1857818486452537,0.17588626063202337,0.26292746236950193
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,11.130812772344722,2.3542843691148776,0.6879017399667312,0.1785094880891784,0.14453554644535543,0.22214549766022587
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,19.27968590385714,2.63240873921238,0.6824694959953325,0.16594610178281852,0.10614954426820293,0.16758827948091076
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,77,34.53062270516323,2.954397308979364,0.7310424577190553,0.15484278049003708,0.06938402636172403,0.10367287049567873
RCCD_k3_nc1_rf1_ra1,3,RCCD,1,1,1,1.681792830507429,15,10.305535988698018,2.078667848504563,0.9848845168314772,0.28544117349546244,0.18027673348824935,0.19647721233202717
RCCD_k4_nc1_rf1_ra1,4,RCCD,1,1,1,2,25,19.181639976562717,1.8958333333333321,0.9943970949293275,0.3076239626844283,0.17948717948717957,0.1536753024978471
RCCD_k5_nc1_rf1_ra1,5,RCCD,1,1,1,2.378414230005442,43,36.70842222541133,1.5515891503131602,0.8698517795065137,0.3159605193405191,0.18009212550798714,0.13148664097341842
RCCD_k6_nc1_rf1_ra1,6,RCCD,1,1,1,2.8284271247461903,77,72.31020939561091,0.9236328124999973,0.4807991884525151,0.3242546181757387,0.22193665923841496,0.15763185934211585
SCCD_k3_nc1_rf1_ra1,3,SCCD,1,1,1,1.7320508075688772,15,10.669518895024307,2.0575396825396823,0.9980392749054307,0.2955227168550709,0.18212793314046932,0.1938875244707779
SCCD_k4_nc1_rf1_ra1,4,SCCD,1,1,1,2,25,19.181639976562717,1.8958333333333321,0.9875849284417911,0.3076239626844283,0.17948717948717957,0.1547353244924006
SCCD_k5_nc1_rf1_ra1,5,SCCD,1,1,1,2.23606797749979,43,34.468407327038655,1.7163095238095105,0.987099828347963,0.29668003198330467,0.16280803906209754,0.11586861363706377
SCCD_k6_nc1_rf1_ra1,6,SCCD,1,1,1,2.449489742783178,77,62.69854260653663,1.5516264619883176,0.9328759130592333,0.2811538254830697,0.1321116813814523,0.08124260577959423
FCCD_k3_nc3_rf1_ra1,3,FCCD,3,1,1,1,17,7.020399549310565,1.9778169014084508,0.7115965847811502,0.19444996242406928,0.18946923219666678,0.2719340824205007
FCCD_k4_nc3_rf1_ra1,4,FCCD,3,1,1,1,27,11.368480246515393,2.2885802469135803,0.7147344755205225,0.18232106052484676,0.14868509777478084,0.21380565734562354
FCCD_k5_nc3_rf1_ra1,5,FCCD,3,1,1,1,45,19.502703747433596,2.5966449162446437,0.732567092728282,0.16786568397695165,0.10761155144737637,0.15612752711304867
FCCD_k6_nc3_rf1_ra1,6,FCCD,3,1,1,1,79,34.77191318782025,2.93198441215737,0.7380206844204631,0.15592477920055584,0.06991441697959078,0.1026926096325667
RCCD_k3_nc3_rf1_ra1,3,RCCD,3,1,1,1.681792830507429,17,11.493292118967629,1.1928128437864698,0.6009307969184131,0.31833946272781316,0.3141611458054795,0.322012726470892
RCCD_k4_nc3_rf1_ra1,4,RCCD,3,1,1,2,27,20.639245599998407,1.0624999999999998,0.4722654300774929,0.33100019216534177,0.32026143790849676,0.32357709168162035
RCCD_k5_nc3_rf1_ra1,5,RCCD,3,1,1,2.378414230005442,45,38.540247861623904,0.8749350273840889,0.3405402937866999,0.33172759796364604,0.3193711295688724,0.33586007505972576
RCCD_k6_nc3_rf1_ra1,6,RCCD,3,1,1,2.8284271247461903,79,74.12260781119927,0.6370117187499993,0.24016072902308847,0.33238180465660916,0.32179624759725967,0.3155772817406135
SCCD_k3_nc3_rf1_ra1,3,SCCD,3,1,1,1.7320508075688772,17,11.90849729452925,1.1686507936507935,0.6118059241087587,0.32983975273540467,0.3206564799094511,0.3162888045223063
SCCD_k4_nc3_rf1_ra1,4,SCCD,3,1,1,2,27,20.639245599998407,1.0624999999999998,0.494771500389386,0.33100019216534177,0.32026143790849676,0.30885827952090955
SCCD_k5_nc3_rf1_ra1,5,SCCD,3,1,1,2.23606797749979,45,36.3196183516481,0.9163095238095234,0.3562930686433628,0.3126139665216187,0.30495043512514525,0.3210107035412088
SCCD_k6_nc3_rf1_ra1,6,SCCD,3,1,1,2.449489742783178,79,65.20749110756455,0.7738486842105271,0.3165050629847571,0.29240449319684325,0.2648941388048717,0.2394567383258584
FCCD_k3_nc5_rf1_ra1,3,FCCD,5,1,1,1,19,7.242911325995266,1.9069587628865978,0.7560494837741931,0.2006130598818916,0.19650946681626505,0.25594536930312667
FCCD_k4_nc5_rf1_ra1,4,FCCD,5,1,1,1,29,11.552054396111595,2.2509439050701188,0.675087755179953,0.1852651157471431,0.1511711495836578,0.226362088770978
FCCD_k5_nc5_rf1_ra1,5,FCCD,5,1,1,1,47,19.68407165275482,2.573517384052858,0.7036326609598896,0.1694267725251085,0.10857862850530858,0.16254772550784413
FCCD_k6_nc5_rf1_ra1,6,FCCD,5,1,1,1,81,34.975041180682055,2.91631722931065,0.772551256832408,0.15683564905305286,0.07029001464894996,0.09810257814698181
RCCD_k3_nc5_rf1_ra1,3,RCCD,5,1,1,1.681792830507429,19,12.093760111016271,1.0139768271800926,0.6546850448417852,0.3349711341406149,0.36957003324977655,0.29557321625208066
RCCD_k4_nc5_rf1_ra1,4,RCCD,5,1,1,2,29,21.354221130057486,0.8958333333333334,0.47222846903635163,0.342466553021239,0.37984496124031003,0.3236024178679522
RCCD_k5_nc5_rf1_ra1,5,RCCD,5,1,1,2.378414230005442,47,39.459322416207314,0.7265791600945982,0.3438516398999495,0.33963835129964226,0.3845816166247434,0.33262568899000006
RCCD_k6_nc5_rf1_ra1,6,RCCD,5,1,1,2.8284271247461903,81,75.20377890982823,0.5414713541666663,0.21726605418572717,0.33723000969845285,0.37857585482931183,0.3488316218103856
SCCD_k3_nc5_rf1_ra1,3,SCCD,5,1,1,1.7320508075688772,19,12.532619007731105,0.9908730158730159,0.5866246968722262,0.34712658133080343,0.37818715792284074,0.32986569670143345
