Model,RMSE,R2,Response,Band
LM,0.08358061880354942,0.8435070360522062,Deff,Low
RF,0.051589098569181695,0.9591168518799932,Deff,Low
XGB,0.02611029282902477,0.9854089790364147,Deff,Low
SVR,0.031098942110229396,0.9800972936601998,Deff,Low
KNN,0.147357869487856,0.5432253386107756,Deff,Low
TREE,0.07636280739779554,0.8712260203794017,Deff,Low
LM,0.07967265544516954,0.8943524736097491,Deff,High
RF,0.04309492218664074,0.9702295157610045,Deff,High
XGB,0.03832970119955829,0.9761384720706267,Deff,High
SVR,0.03709305234638901,0.9782953462385596,Deff,High
KNN,0.13598267622372653,0.7388128120082821,Deff,High
TREE,0.06679300089687609,0.9247770231295854,Deff,High
LM,0.1333883790794519,0.6522124816721314,Aeff,Low
RF,0.12374102263555263,0.7170777757597413,Aeff,Low
XGB,0.1251645868655664,0.6968632787251732,Aeff,Low
SVR,0.10582064702796554,0.7850603492738438,Aeff,Low
KNN,0.1993222430013505,0.2187901778080268,Aeff,Low
TREE,0.13115062415434567,0.65882580779208,Aeff,Low
LM,0.10247586632065517,0.8441883389964074,Aeff,High
RF,0.07767131237344826,0.9094291514006024,Aeff,High
XGB,0.10722741481351732,0.8466795890466506,Aeff,High
SVR,0.07770902692500355,0.9125933299153641,Aeff,High
KNN,0.16500742696574291,0.6460800911211799,Aeff,High
TREE,0.09036721037580438,0.8757438050828725,Aeff,High
LM,0.13854109923322908,0.7498248653317271,Geff,Low
RF,0.09164424370272084,0.8998356228966592,Geff,Low
XGB,0.09047191681901144,0.8921834941064861,Geff,Low
SVR,0.10471493725609375,0.8693561751175817,Geff,Low
KNN,0.22932880421584198,0.35874841017906905,Geff,Low
TREE,0.10249257139424978,0.8791598124697152,Geff,Low
LM,0.10642714037444881,0.8193656870335531,Geff,High
RF,0.08748274841551074,0.875251005287473,Geff,High
XGB,0.11760684097339455,0.7984522342544313,Geff,High
SVR,0.08760072395948203,0.8760360171072155,Geff,High
KNN,0.16382054761440648,0.6081593181322845,Geff,High
TREE,0.10198294747509265,0.8285032876541009,Geff,High
